,uneroded_km2,n_screened,n_nonforest,acceptance,acceptance_ci,eroded_km2,eroded_km2_ci,removed_km2,removed_share,n_parts
TAP,1904.1926455719088,16000,3440,0.215,"[0.20870305030099784, 0.2214337738475241]",409.40141879796033,"[np.float64(397.41081349158424), np.float64(421.65256364168863)]",1494.7912267739484,0.785,1234
MDD,813.9541972728153,16000,9144,0.5715,"[0.5638157821619968, 0.5791498917796899]",465.17482374141395,"[np.float64(458.92022237941256), np.float64(471.40148526417534)]",348.7793735314014,0.4285,226
GHA,1777.159509685076,16000,7780,0.48625,"[0.47850957929744714, 0.493997021867613]",864.1438115843682,"[np.float64(850.3878493238632), np.float64(877.9115051681349)]",913.0156981007078,0.5137499999999999,528
