ISO3_CODE,COUNTRY_NAME,AREA,maus_id,area_km2,d_ind_km,nearest_ind,industrial_flag,proposed_label,source,lon,lat,poly,area_ha,ndvi,tex,npts,industrial_new,industrial_old
GHA,Ghana,0.33776724666145874,GHA_M00000,0.3363123937421796,2.9768684994970305,Nzema (Teleku Bokazo),True,industrial,MausV2 (GHA box),-2.3094162654996357,4.947481838074399,0,33.63123937422494,0.2420937865972519,0.0822274909881561,1.0,True,True
GHA,Ghana,0.199482235401339,GHA_M00001,0.1986223975029939,2.7542129804395654,Nzema (Teleku Bokazo),True,industrial,MausV2 (GHA box),-2.295223494905835,4.9888998456313685,1,19.862239750304475,0.3887598514556885,0.0413563232880992,1.0,False,True
GHA,Ghana,0.7549287565467605,GHA_M00002,0.7516730459006115,10.303283749463821,Nzema (Teleku Bokazo),False,"mining, unclassified",MausV2 (GHA box),-2.2245270190895736,4.998806020558003,2,75.16730459004461,0.3344723656773567,0.025821816976510002,2.0,True,False
GHA,Ghana,1.3419953244450542,GHA_M00003,1.3362117151189623,0.6856154611694854,Nzema (Teleku Bokazo),True,industrial,MausV2 (GHA box),-2.318707541685788,4.98754512926419,3,133.62117151190378,0.4212799072265625,0.0443662847479976,3.0,True,True
GHA,Ghana,0.7196448240965873,GHA_M00004,0.7165416979249543,8.609503476501116,Nzema (Teleku Bokazo),False,"mining, unclassified",MausV2 (GHA box),-2.2397932506061893,4.994045032092426,4,71.6541697924891,0.3218142688274383,0.0458913371255511,1.0,True,False
GHA,Ghana,2.023206683204624,GHA_M00005,2.0144809004615842,8.113244672184763,Nzema (Teleku Bokazo),False,"mining, unclassified",MausV2 (GHA box),-2.24919087320914,5.0109685833434785,5,201.44809004618813,0.13943835999816653,0.044155084338180856,6.0,True,False
GHA,Ghana,0.9314762247814398,GHA_M00006,0.9274584113396326,9.134060913680656,Nzema (Teleku Bokazo),False,"mining, unclassified",MausV2 (GHA box),-2.2384869972451797,5.013261161432507,6,92.74584113396178,0.2296934500336647,0.08215151661563985,2.0,True,False
GHA,Ghana,0.4592637304940816,GHA_M00007,0.4572754688829554,12.781958803167516,Tarkwa,False,"mining, unclassified",MausV2 (GHA box),-2.1322106688111506,5.321862042621632,7,45.727546888297816,0.0828402265906333,0.0418328892006445,1.0,True,False
GHA,Ghana,1.2592221640884849,GHA_M00008,1.2537713095011926,5.758443139320269,Tarkwa,False,"mining, unclassified",MausV2 (GHA box),-2.068331612566809,5.298476223764828,8,125.37713095012242,0.5848221182823181,0.0289537471465305,1.0,True,False
GHA,Ghana,0.3746993793284757,GHA_M00009,0.3730764323277726,15.09468484821343,Tarkwa,False,"mining, unclassified",MausV2 (GHA box),-2.125017509855454,5.400737604029784,9,37.30764323278364,,,,True,False
GHA,Ghana,0.07754902636700979,GHA_M00010,0.07721313563109465,15.790407249553736,Tarkwa,False,"mining, unclassified",MausV2 (GHA box),-2.128140846560846,5.405246349206349,10,7.7213135631053635,,,,False,False
GHA,Ghana,0.7161828375471238,GHA_M00011,0.7130802428311026,16.161741993335667,Tarkwa,False,"mining, unclassified",MausV2 (GHA box),-2.1173906218670333,5.435868577239264,11,71.30802428312184,0.1030017584562301,0.021283843787259,1.0,True,False
GHA,Ghana,1.2439132292071795,GHA_M00012,1.2385247367560102,17.746900846050913,Tarkwa,False,"mining, unclassified",MausV2 (GHA box),-2.1319039732878626,5.435938780917338,12,123.85247367560879,0.5972060561180115,0.0516220110166264,3.0,True,False
GHA,Ghana,0.33103823523645265,GHA_M00013,0.32960408824241694,16.462970761016578,Bogoso-Prestea,False,"mining, unclassified",MausV2 (GHA box),-2.1002684018095055,5.446037311767989,13,32.96040882424719,0.1276729702949524,0.0236877860296004,1.0,True,False
GHA,Ghana,0.10609150271167637,GHA_M00014,0.10563238783875536,13.808697889396132,Damang,False,"mining, unclassified",MausV2 (GHA box),-1.7189353054911067,5.491644315545247,14,10.563238783879074,,,,False,False
GHA,Ghana,2.750548853111761,GHA_M00015,2.738646333715089,13.464847119207048,Damang,False,"mining, unclassified",MausV2 (GHA box),-1.716475863611955,5.481550472823816,15,273.8646333715189,0.5735149383544922,0.0370121254373559,9.0,True,False
GHA,Ghana,0.43975880107219456,GHA_M00016,0.43785562270599454,12.656615680634538,Damang,False,"mining, unclassified",MausV2 (GHA box),-1.7314106446496873,5.480537774046088,16,43.78556227060192,,,,True,False
GHA,Ghana,0.15452224447378657,GHA_M00017,0.15385358747516756,14.63629895788927,Damang,False,"mining, unclassified",MausV2 (GHA box),-1.711282078853047,5.490421385902032,17,15.385358747515353,0.1583617627620697,0.0395111682444194,2.0,False,False
GHA,Ghana,0.3020923957761866,GHA_M00018,0.30078351232034545,13.33554313117894,Bogoso-Prestea,False,"mining, unclassified",MausV2 (GHA box),-2.100686412711346,5.488108141508794,18,30.078351232039918,,,,True,False
GHA,Ghana,2.3405663853344687,GHA_M00019,2.3304376947752385,13.472178385820634,Damang,False,"mining, unclassified",MausV2 (GHA box),-1.7137898584636952,5.499548658691557,19,233.0437694775308,0.114742711186409,0.0360785881366269,7.0,True,False
GHA,Ghana,0.32172387289455695,GHA_M00020,0.32033409828877696,18.100693330599125,Nzema (Teleku Bokazo),False,"mining, unclassified",MausV2 (GHA box),-2.2501187177033484,5.1316873046252,20,32.03340982888028,,,,True,False
GHA,Ghana,0.27582871113298846,GHA_M00021,0.274635953975068,10.597002627733232,Nsuta,False,"mining, unclassified",MausV2 (GHA box),-2.0289591889880954,5.184356436011905,21,27.46359539752045,,,,True,False
GHA,Ghana,0.9257069193218932,GHA_M00022,0.9216952411517392,3.584559210410921,Bogoso-Prestea,True,industrial,MausV2 (GHA box),-2.042083746538163,5.576357806580259,22,92.16952411516132,0.37987694889307017,0.03223712164160725,2.0,True,True
GHA,Ghana,0.32464742564265314,GHA_M00023,0.32324325596492715,0.9768065375960711,Edikan (Ayanfuri),True,industrial,MausV2 (GHA box),-1.9059434343434352,5.9705202020202,23,32.324325596495754,,,,True,True
GHA,Ghana,0.04794615812519833,GHA_M00024,0.047739439313082624,4.349803345198534,Obuasi,True,industrial,MausV2 (GHA box),-1.6622961538461558,6.119860598290597,24,4.773943931306367,,,,False,True
GHA,Ghana,0.06952122165291291,GHA_M00025,0.06922148866536046,3.4035861180827607,Obuasi,True,industrial,MausV2 (GHA box),-1.6679012967875047,6.125292661361632,25,6.9221488665592235,,,,False,True
GHA,Ghana,0.10246743810537119,GHA_M00026,0.10202568417302925,2.5649857251552954,Obuasi,True,industrial,MausV2 (GHA box),-1.6702979204159187,6.13077340531894,26,10.202568417301041,,,,False,True
