roi,id,lon,lat,cls_ndvi,ndvi_ann,NDWI_p50,patch_ha,d_mb_m,explained
TAP,TAP_P00002,-56.42444928008274,-6.20914510463866,forest,0.8424337022982534,-0.7112078666687012,252.2390844989058,84.8528137423857,False
TAP,TAP_P00003,-57.161494849981,-7.2642197538132445,forest,0.8381541192553261,-0.7443864941596985,1719.8896589965225,150.0,False
TAP,TAP_P00004,-57.38156732927551,-6.201584116878539,forest,0.8316865478266573,-0.7387279868125916,1929.2377405479056,174.92855684535903,False
TAP,TAP_P00006,-56.271116524743135,-6.713175770398697,forest,0.8250114437917222,-0.7134771347045898,1138.2805734249494,201.24611797498108,False
TAP,TAP_P00007,-56.58449607497098,-5.505562151019106,forest,0.8392822447594899,-0.6970645785331726,29.136618841667897,161.55494421403512,False
TAP,TAP_P00008,-56.882702955356486,-7.076177252782658,forest,0.8355782705398301,-0.7095965147018433,2030.3979470351633,301.4962686336267,False
TAP,TAP_P00010,-57.37095587917415,-6.218232856047615,forest,0.8069748513393632,-0.7155601978302002,1929.2377405479056,30.0,False
TAP,TAP_P00011,-56.41526690533049,-5.724755355691315,forest,0.8680203092613907,-0.767430305480957,195.3922704249928,174.92855684535903,False
TAP,TAP_P00012,-56.75669967611866,-7.513483500228767,forest,0.8141848585213376,-0.6890998482704163,9991.219089903321,67.0820393249937,False
TAP,TAP_P00013,-57.47388533428744,-6.2017025313589365,forest,0.7774235413957453,-0.6836630702018738,557.4016130141331,60.0,False
TAP,TAP_P00015,-57.50255537092832,-6.905411616312231,forest,0.846475738589252,-0.7341514229774475,646.9979046698837,94.86832980505139,False
TAP,TAP_P00016,-56.70796315597528,-7.118587848779073,forest,0.8009665350668679,-0.674972653388977,402.8868986953326,152.97058540778355,False
TAP,TAP_P00017,-56.93764735081439,-7.064378714676365,bare/non-forest,0.47848190346394703,-0.5419554114341736,1512.8545122012727,94.86832980505139,True
TAP,TAP_P00019,-56.92740448264752,-7.483557583799191,forest,0.594181828033826,-0.4958677887916565,384.2965911511187,30.0,False
TAP,TAP_P00021,-57.29582571564053,-7.151069582576668,forest,0.8402860602605001,-0.7653030753135681,6532.483013953644,216.33307652783935,False
TAP,TAP_P00022,-57.14162489445533,-7.303705367766433,forest,0.8624872282838869,-0.7545607089996338,1719.8896589965225,210.0,False
TAP,TAP_P00023,-56.22944971290691,-6.711085361753256,forest,0.8167548928309053,-0.7053646445274353,1138.2805734249494,120.0,False
TAP,TAP_P00025,-57.0130146201455,-7.266231381203008,forest,0.8524529758598293,-0.7372382879257202,2175.487275045593,127.27922061357854,False
TAP,TAP_P00026,-56.27289681433133,-6.779442102985856,forest,0.8056840726995194,-0.7091132402420044,1896.608348381681,210.0,False
TAP,TAP_P00028,-57.62484977216362,-5.151035224233872,forest,0.8253560540039948,-0.6971608996391296,165.62883755700884,60.0,False
TAP,TAP_P00031,-56.65437552458138,-7.19939749066787,forest,0.8162311910389333,-0.7307108640670776,182.73024591917934,84.8528137423857,False
TAP,TAP_P00032,-56.58273758723107,-6.85765166824638,bare/non-forest,0.303578331200692,-0.1793006211519241,1126.0796245100512,189.73665961010278,True
TAP,TAP_P00033,-56.05211794964272,-5.513768620940988,bare/non-forest,0.4342577409406593,-0.4978323876857757,596.0602670451929,108.16653826391968,True
TAP,TAP_P00034,-57.26381070913405,-5.786762473609402,forest,0.6670984368241024,-0.5650220513343811,381.8071227324021,30.0,False
TAP,TAP_P00035,-56.95833460410323,-7.364648692750106,forest,0.823549371093391,-0.7227786779403687,222.8822387242908,60.0,False
TAP,TAP_P00036,-56.70396327552731,-5.652655338588249,forest,0.7840172771405861,-0.6622613668441772,1909.7384285300964,174.92855684535903,False
TAP,TAP_P00037,-56.35966995228299,-6.671860997117656,forest,0.8221330737678333,-0.7200855016708374,207.132546406877,189.73665961010278,False
TAP,TAP_P00039,-56.97359622351304,-7.040594021528027,forest,0.8367672103883831,-0.7290600538253784,1512.8545122012727,150.0,False
TAP,TAP_P00040,-57.153637597503,-7.2891957023778,forest,0.8506476112760087,-0.733423113822937,1719.8896589965225,212.13203435596427,False
TAP,TAP_P00041,-56.63953657579538,-6.928567738891294,forest,0.8277430339044465,-0.7149401903152466,417.0850294164283,212.13203435596427,False
TAP,TAP_P00042,-57.56526596515493,-6.927351466825587,forest,0.8182070191568491,-0.7144830822944641,220.1502302259007,174.92855684535903,False
TAP,TAP_P00043,-56.645600163454255,-7.552532094741956,forest,0.8314162540018504,-0.7190452814102173,292.6716534958322,42.42640687119285,False
TAP,TAP_P00044,-56.31693347697578,-6.684399827040276,forest,0.8175698451466725,-0.7108784317970276,61.80190842800965,169.7056274847714,False
TAP,TAP_P00045,-56.2432589903115,-6.710650719213907,forest,0.843314755047503,-0.7299465537071228,1138.2805734249494,330.0,False
TAP,TAP_P00046,-57.35014244395402,-6.530523019822047,forest,0.8379791023117106,-0.727713942527771,457.11069535713904,150.0,False
TAP,TAP_P00047,-56.96661529104343,-7.0515120554121085,forest,0.8137540245857513,-0.7139680981636047,1846.9119318392366,42.42640687119285,False
TAP,TAP_P00048,-57.36089675222351,-6.996704975481162,forest,0.8406310205388717,-0.7427323460578918,55.25501398908678,189.73665961010278,False
TAP,TAP_P00051,-56.83849017631857,-7.122620630906365,forest,0.7129996488407623,-0.6816229820251465,488.2524627143045,134.1640786499874,False
TAP,TAP_P00052,-56.84754857162953,-6.597425345923878,water,-0.23374116692818594,0.1706964075565338,183.92529575320694,30.0,True
TAP,TAP_P00053,-56.48675720025396,-6.960450979197367,forest,0.5502779209560057,-0.4483271539211273,3842.1278497334474,169.7056274847714,False
TAP,TAP_P00055,-56.60443825334352,-7.710291870821755,forest,0.8268115859528402,-0.7251377105712891,28.589740662642836,192.09372712298546,False
TAP,TAP_P00056,-56.10995585386895,-6.685857399059636,water,-0.37550782754176487,0.3582718670368194,219.3394527267297,42.42640687119285,True
TAP,TAP_P00057,-56.86322271131212,-5.6694526441167055,forest,0.6418997271457607,-0.5841071009635925,1287.902270433891,210.0,False
TAP,TAP_P00058,-57.28936344642795,-7.200636065347988,forest,0.8698911097850067,-0.7498539090156555,81.19767041965106,60.0,False
TAP,TAP_P00059,-56.985905772085786,-5.564576923974211,forest,0.8439928214567244,-0.7221480011940002,805.565689156786,67.0820393249937,False
TAP,TAP_P00060,-56.15057518271647,-6.740212754318556,forest,0.7501319878954223,-0.6650251150131226,102.47573956824237,180.0,False
TAP,TAP_P00061,-56.752846075716086,-7.632322148320426,forest,0.607688245893015,-0.4605353474617004,9991.219089903321,30.0,False
TAP,TAP_P00063,-56.40718406503017,-6.303886777674102,forest,0.7877475197311299,-0.7163283824920654,55.347050908782904,108.16653826391968,False
TAP,TAP_P00064,-57.33661892471375,-7.17585134936296,forest,0.6908300065864322,-0.6658197045326233,6532.483013953644,84.8528137423857,False
TAP,TAP_P00065,-56.41105813986681,-6.304102545167101,forest,0.8215251539593541,-0.7078185677528381,55.347050908782904,218.40329667841553,False
TAP,TAP_P00066,-56.38976869510078,-6.39183339756269,forest,0.8171705887638636,-0.6834462881088257,56.45721551423449,134.1640786499874,False
TAP,TAP_P00067,-57.3522369558146,-7.019145128627335,forest,0.8370281607557379,-0.7286936044692993,172.65004880088762,364.96575181789314,False
TAP,TAP_P00068,-57.085788227564834,-7.186424345053598,forest,0.8470093115295574,-0.7616652846336365,94.73038507365266,108.16653826391968,False
TAP,TAP_P00069,-57.38413634024378,-5.701748351679196,forest,0.8335177005224853,-0.7117193341255188,778.7216038360784,523.9274758971894,False
TAP,TAP_P00071,-55.31758839912824,-6.031339801902348,forest,0.8112346720562387,-0.717083215713501,563.1483995664034,90.0,False
TAP,TAP_P00072,-57.19814291776376,-7.38981787733398,forest,0.840081857275806,-0.7238852381706238,2430.777471602475,30.0,False
TAP,TAP_P00077,-57.40803319174742,-5.951173524643051,forest,0.8201261305456737,-0.7124324440956116,2568.233036550785,30.0,False
TAP,TAP_P00078,-56.87361338111097,-5.491720308957756,forest,0.7608981020055455,-0.6394410133361816,138.9796544460033,42.42640687119285,False
TAP,TAP_P00079,-57.30057981481031,-5.81804488424206,forest,0.7178947240995125,-0.6753438711166382,36.54843819941288,60.0,False
TAP,TAP_P00080,-57.04522763486059,-5.763672830050404,forest,0.8854766496000479,-0.7534764409065247,2348.048398524063,174.92855684535903,False
TAP,TAP_P00081,-56.02037039413084,-6.439041219183344,forest,0.6624769563602371,-0.6028303503990173,52.09307256387771,189.73665961010278,False
TAP,TAP_P00083,-57.50388726659314,-5.012822756344107,forest,0.7950860824430597,-0.6847714185714722,487.96842086343224,90.0,False
TAP,TAP_P00085,-57.44516794922212,-6.365250689369901,forest,0.6651982498195368,-0.6093506217002869,14.7577572065893,2865.7459761814202,False
TAP,TAP_P00086,-56.587021806393714,-7.320838358298023,forest,0.8289105227024793,-0.7268952131271362,1400.357443306783,108.16653826391968,False
TAP,TAP_P00087,-57.3805777155603,-5.998300345903147,forest,0.8219821456230518,-0.6960591077804565,85.9451181122986,174.92855684535903,False
TAP,TAP_P00088,-56.97626087071233,-5.847631336219652,forest,0.8524836851721285,-0.7488524913787842,230.57359807315046,134.1640786499874,False
TAP,TAP_P00089,-56.86745570071068,-6.732284316189482,forest,0.5696393527728846,-0.4946509897708893,173.5874714507326,42.42640687119285,False
TAP,TAP_P00090,-56.46654892313804,-7.037706519942373,forest,0.801974100431479,-0.6986225843429565,78.77791044271103,30.0,False
TAP,TAP_P00091,-56.35978882470512,-6.667899498815093,forest,0.8350837333817208,-0.7310925722122192,207.132546406877,30.0,False
TAP,TAP_P00092,-57.26291680216643,-7.171734856321959,forest,0.8387715966356104,-0.740398645401001,6532.483013953644,318.9043743820395,False
TAP,TAP_P00093,-57.29669917128115,-6.082444489549997,forest,0.8426902286055847,-0.7304465770721436,63.15584412963601,108.16653826391968,False
TAP,TAP_P00094,-56.71716581517458,-5.939456504794271,forest,0.8142519346882736,-0.7180661559104919,77.29060308017671,161.55494421403512,False
TAP,TAP_P00097,-57.322973495809045,-7.146146307398921,forest,0.8325974222077632,-0.7377997636795044,6532.483013953644,300.0,False
TAP,TAP_P00098,-56.88297985320944,-6.708906610424839,forest,0.8331988189837546,-0.7326642274856567,329.9133012600551,90.0,False
TAP,TAP_P00099,-57.44716374947208,-6.935339165839968,forest,0.8477093216620126,-0.7280361652374268,324.06766038088307,134.1640786499874,False
TAP,TAP_P00100,-57.41645786609265,-6.93855428555957,forest,0.848574233920766,-0.7303478121757507,619.4454737123132,295.4657340538831,False
TAP,TAP_P00103,-56.67490863473488,-7.098261338742496,forest,0.8257328947737514,-0.6771553158760071,698.8827912718284,84.8528137423857,False
TAP,TAP_P00104,-56.66543003930335,-7.8066268597164195,forest,0.8480886999518101,-0.7194832563400269,1080.1496008580875,152.97058540778355,False
TAP,TAP_P00107,-56.30149300860246,-6.571641963460828,forest,0.8009548316842622,-0.7111780643463135,124.97333929354812,108.16653826391968,False
TAP,TAP_P00108,-56.87155104254418,-5.598677344548479,forest,0.8213046368246938,-0.7049897313117981,107.39642538831157,216.33307652783935,False
TAP,TAP_P00109,-57.44930431174214,-4.824996637923996,forest,0.7108047338062589,-0.5618507862091064,71.48661637070762,30.0,False
TAP,TAP_P00115,-56.907876307162645,-5.429273540185303,forest,0.8684422848828929,-0.7492894530296326,1838.6847913386882,30.0,False
TAP,TAP_P00116,-56.38604987848651,-6.127925796354913,forest,0.8053794724210253,-0.6785229444503784,644.558099770636,67.0820393249937,False
TAP,TAP_P00119,-57.15238485130718,-7.132568475204145,forest,0.8504777988455268,-0.7488343119621277,168.02607417283448,134.1640786499874,False
TAP,TAP_P00120,-56.17597507865458,-6.80031905218759,forest,0.8342031360274431,-0.7266911268234253,110.64781311286376,150.0,False
TAP,TAP_P00121,-56.85661725672815,-7.09870116123504,forest,0.8615844454234762,-0.7580893039703369,276.9443718534813,276.5863337187866,False
TAP,TAP_P00122,-57.54608025498639,-5.2138179678284216,forest,0.8035662103724959,-0.693965494632721,329.8607238651681,150.0,False
TAP,TAP_P00123,-57.14011853000768,-7.257372817512445,forest,0.8641776724790146,-0.7425323724746704,1719.8896589965225,174.92855684535903,False
TAP,TAP_P00124,-56.73772465882969,-7.069530164567295,forest,0.8369122133952335,-0.6950226426124573,475.5724296900206,313.20919526731655,False
TAP,TAP_P00125,-57.00083853686498,-5.825455748639993,forest,0.8425471144812543,-0.7289031147956848,706.1187034970374,180.0,False
TAP,TAP_P00126,-56.55245848537496,-6.133343673675636,forest,0.6171735105255209,-0.591071367263794,118.59117248114103,42.42640687119285,False
TAP,TAP_P00127,-56.33392744340896,-7.307680726794734,forest,0.870294965766317,-0.750633955001831,1063.6012068494724,240.0,False
TAP,TAP_P00128,-57.03995761292973,-7.208389632201792,forest,0.8580814667016335,-0.7361266016960144,148.8588339856818,60.0,False
TAP,TAP_P00129,-55.98478154164841,-6.24067822018783,forest,0.8321753092590841,-0.730827808380127,144.07918810918784,210.0,False
TAP,TAP_P00130,-56.90709794444789,-5.758194960047167,forest,0.8593166735170438,-0.742450475692749,1231.4065370376056,84.8528137423857,False
TAP,TAP_P00131,-56.96538878825778,-7.075676165111634,forest,0.8138306584695115,-0.7054404020309448,1846.9119318392366,42.42640687119285,False
TAP,TAP_P00132,-55.471509354649385,-5.477253002799877,forest,0.7719840815693398,-0.6929083466529846,229.02317675132082,234.30749027719963,False
TAP,TAP_P00134,-56.892298334428425,-5.015033600401271,forest,0.8479692762937036,-0.7129917740821838,107.30591482391422,30.0,False
TAP,TAP_P00135,-56.91743517893831,-5.449501770746832,forest,0.8632101832222274,-0.7303082346916199,1838.6847913386882,123.69316876852982,False
TAP,TAP_P00136,-56.23894193980635,-6.755227992727701,forest,0.7835565344049055,-0.6943444609642029,1896.608348381681,30.0,False
TAP,TAP_P00137,-57.35604027001594,-6.20812268174085,forest,0.8415841510046581,-0.7428503036499023,112.43192095194827,283.0194339616981,False
TAP,TAP_P00138,-56.06460519665284,-5.471618509943656,bare/non-forest,0.380611227930048,-0.3984386920928955,87.45081919733741,30.0,True
TAP,TAP_P00140,-56.29201259852772,-6.137590753250477,forest,0.7386481855777611,-0.6328734159469604,319.00897592000683,127.27922061357854,False
TAP,TAP_P00142,-57.28225878118239,-7.207719870190231,forest,0.8031088077901034,-0.726167619228363,6532.483013953644,42.42640687119285,False
TAP,TAP_P00143,-57.59849407163051,-5.257934470527669,forest,0.8248991037375223,-0.7191267609596252,142.24975651680498,84.8528137423857,False
TAP,TAP_P00144,-56.65972737281862,-5.823040203981328,forest,0.8028489938261328,-0.6990241408348083,1909.7384285300964,67.0820393249937,False
TAP,TAP_P00145,-56.53348885419713,-7.014793443956581,forest,0.7573117657192611,-0.6473863124847412,3842.1278497334474,42.42640687119285,False
TAP,TAP_P00146,-56.90415654677723,-7.1121315861268135,forest,0.8397171505922709,-0.7370159029960632,2030.3979470351633,84.8528137423857,False
