id,lon,lat,kind,NDVI_p50,NDWI_p50,B11_p50,B12_p50
TAP_P00002,-56.42444928008274,-6.20914510463866,vegetated,0.8190053701400757,-0.7112078666687012,0.152999997138977,0.064699999988079
TAP_P00003,-57.161494849981,-7.2642197538132445,vegetated,0.84969562292099,-0.7443864941596985,0.149399995803833,0.0639000013470649
TAP_P00004,-57.38156732927551,-6.201584116878539,vegetated,0.8358253836631775,-0.7387279868125916,0.1645999997854232,0.0687500014901161
TAP_P00006,-56.271116524743135,-6.713175770398697,vegetated,0.8328102231025696,-0.7134771347045898,0.1472499966621399,0.0621000006794929
TAP_P00007,-56.58449607497098,-5.505562151019106,vegetated,0.8143534064292908,-0.6970645785331726,0.122699998319149,0.0507000014185905
TAP_P00008,-56.882702955356486,-7.076177252782658,vegetated,0.81242835521698,-0.7095965147018433,0.1968999952077865,0.088699996471405
TAP_P00010,-57.37095587917415,-6.218232856047615,vegetated,0.8155991435050964,-0.7155601978302002,0.1733999997377395,0.0755999982357025
TAP_P00011,-56.41526690533049,-5.724755355691315,vegetated,0.8643326163291931,-0.767430305480957,0.1568000018596649,0.063400000333786
TAP_P00012,-56.75669967611866,-7.513483500228767,vegetated,0.805644154548645,-0.6890998482704163,0.139500007033348,0.0582000017166137
TAP_P00013,-57.47388533428744,-6.2017025313589365,vegetated,0.7751169800758362,-0.6836630702018738,0.1669500023126602,0.0729999989271164
TAP_P00015,-57.50255537092832,-6.905411616312231,vegetated,0.837795615196228,-0.7341514229774475,0.1745000034570694,0.0719500035047531
TAP_P00016,-56.70796315597528,-7.118587848779073,vegetated,0.7783187031745911,-0.674972653388977,0.1354999989271164,0.0599000006914138
TAP_P00017,-56.93764735081439,-7.064378714676365,vegetated,0.4975899755954742,-0.5419554114341736,0.238999992609024,0.127700001001358
TAP_P00019,-56.92740448264752,-7.483557583799191,vegetated,0.502611517906189,-0.4958677887916565,0.2545999884605407,0.1651999950408935
TAP_P00021,-57.29582571564053,-7.151069582576668,vegetated,0.8522250056266785,-0.7653030753135681,0.1589999943971634,0.0653999969363212
TAP_P00022,-57.14162489445533,-7.303705367766433,vegetated,0.8542161583900452,-0.7545607089996338,0.1618916690349578,0.0675999969244003
TAP_P00023,-56.22944971290691,-6.711085361753256,vegetated,0.8206192851066589,-0.7053646445274353,0.1333000063896179,0.0552500002086162
TAP_P00025,-57.0130146201455,-7.266231381203008,vegetated,0.8512440919876099,-0.7372382879257202,0.1489800065755844,0.0623000003397464
TAP_P00026,-56.27289681433133,-6.779442102985856,vegetated,0.8245416283607483,-0.7091132402420044,0.1387999951839447,0.0581000000238418
TAP_P00028,-57.62484977216362,-5.151035224233872,vegetated,0.8166289925575256,-0.6971608996391296,0.1970999985933303,0.0890000015497207
TAP_P00031,-56.65437552458138,-7.19939749066787,vegetated,0.8146517276763916,-0.7307108640670776,0.1434500068426132,0.0622499994933605
TAP_P00032,-56.58273758723107,-6.85765166824638,bare — sandbar / spoil / tailings,0.2820756137371063,-0.1793006211519241,0.0771500021219253,0.0359999984502792
TAP_P00033,-56.05211794964272,-5.513768620940988,vegetated,0.4404129385948181,-0.4978323876857757,0.2418999969959259,0.157150000333786
TAP_P00034,-57.26381070913405,-5.786762473609402,vegetated,0.636313259601593,-0.5650220513343811,0.1444499939680099,0.0662999972701072
TAP_P00035,-56.95833460410323,-7.364648692750106,vegetated,0.8240000009536743,-0.7227786779403687,0.1414999961853027,0.0615000016987323
TAP_P00036,-56.70396327552731,-5.652655338588249,vegetated,0.772009015083313,-0.6622613668441772,0.1924999952316284,0.0877000018954277
TAP_P00037,-56.35966995228299,-6.671860997117656,vegetated,0.8131648898124695,-0.7200855016708374,0.1374000012874603,0.060199998319149
TAP_P00039,-56.97359622351304,-7.040594021528027,vegetated,0.8340878486633301,-0.7290600538253784,0.1335500031709671,0.0544999986886978
TAP_P00040,-57.153637597503,-7.2891957023778,vegetated,0.847108006477356,-0.733423113822937,0.1817071437835693,0.0766500011086463
TAP_P00041,-56.63953657579538,-6.928567738891294,vegetated,0.8168931007385254,-0.7149401903152466,0.1553000062704086,0.0640999972820282
TAP_P00042,-57.56526596515493,-6.927351466825587,vegetated,0.8123630285263062,-0.7144830822944641,0.1627999991178512,0.0671499967575073
TAP_P00043,-56.645600163454255,-7.552532094741956,vegetated,0.8187440037727356,-0.7190452814102173,0.1330000013113021,0.0555000007152557
TAP_P00044,-56.31693347697578,-6.684399827040276,vegetated,0.8170894384384155,-0.7108784317970276,0.1371999979019165,0.0586000010371208
TAP_P00045,-56.2432589903115,-6.710650719213907,vegetated,0.8523452877998352,-0.7299465537071228,0.1445000022649765,0.0621000006794929
TAP_P00046,-57.35014244395402,-6.530523019822047,vegetated,0.8262500166893005,-0.727713942527771,0.1712000072002411,0.0706999972462654
TAP_P00047,-56.96661529104343,-7.0515120554121085,vegetated,0.8106821179389954,-0.7139680981636047,0.1691000014543533,0.0706999972462654
TAP_P00048,-57.36089675222351,-6.996704975481162,vegetated,0.8543097972869873,-0.7427323460578918,0.1532499939203262,0.062399998307228
TAP_P00051,-56.83849017631857,-7.122620630906365,vegetated,0.7273332476615906,-0.6816229820251465,0.1643999963998794,0.0805500000715255
TAP_P00052,-56.84754857162953,-6.597425345923878,water / turbid pond,-0.2577165961265564,0.1706964075565338,0.0205499995499849,0.0125500001013278
TAP_P00053,-56.48675720025396,-6.960450979197367,vegetated,0.4451672732830047,-0.4483271539211273,0.2964000105857849,0.211899995803833
TAP_P00055,-56.60443825334352,-7.710291870821755,vegetated,0.8325123190879822,-0.7251377105712891,0.1448999941349029,0.0625
TAP_P00056,-56.10995585386895,-6.685857399059636,water / turbid pond,-0.3922156095504761,0.3582718670368194,0.066500000655651,0.0474999994039535
TAP_P00057,-56.86322271131212,-5.6694526441167055,vegetated,0.6305699944496155,-0.5841071009635925,0.1807000041007995,0.097300000488758
TAP_P00058,-57.28936344642795,-7.200636065347988,vegetated,0.8699237108230591,-0.7498539090156555,0.1628500074148178,0.0666999965906143
TAP_P00059,-56.985905772085786,-5.564576923974211,vegetated,0.8358495831489563,-0.7221480011940002,0.1624999940395355,0.06700000166893
TAP_P00060,-56.15057518271647,-6.740212754318556,vegetated,0.7567164301872253,-0.6650251150131226,0.1394000053405761,0.0607500001788139
TAP_P00061,-56.752846075716086,-7.632322148320426,vegetated,0.5635617971420288,-0.4605353474617004,0.2178999930620193,0.1524000018835067
TAP_P00063,-56.40718406503017,-6.303886777674102,vegetated,0.8053691387176514,-0.7163283824920654,0.1485999971628189,0.062899999320507
TAP_P00064,-57.33661892471375,-7.17585134936296,vegetated,0.6942185759544373,-0.6658197045326233,0.2025499939918518,0.0953999981284141
TAP_P00065,-56.41105813986681,-6.304102545167101,vegetated,0.8264109492301941,-0.7078185677528381,0.1583500057458877,0.0666500031948089
TAP_P00066,-56.38976869510078,-6.39183339756269,vegetated,0.7926304936408997,-0.6834462881088257,0.1436062455177307,0.0613333322107791
TAP_P00067,-57.3522369558146,-7.019145128627335,vegetated,0.8390056490898132,-0.7286936044692993,0.1633999943733215,0.067500002682209
TAP_P00068,-57.085788227564834,-7.186424345053598,vegetated,0.8560221791267395,-0.7616652846336365,0.1828500032424926,0.0810000002384185
TAP_P00069,-57.38413634024378,-5.701748351679196,vegetated,0.8184014558792114,-0.7117193341255188,0.1775999963283538,0.0716999992728233
TAP_P00071,-55.31758839912824,-6.031339801902348,vegetated,0.8184941411018372,-0.717083215713501,0.179199993610382,0.0763999968767166
TAP_P00072,-57.19814291776376,-7.38981787733398,vegetated,0.8374172449111938,-0.7238852381706238,0.1544999927282333,0.0690499991178512
TAP_P00077,-57.40803319174742,-5.951173524643051,vegetated,0.8342575430870056,-0.7124324440956116,0.1800999939441681,0.0725999996066093
TAP_P00078,-56.87361338111097,-5.491720308957756,vegetated,0.7558092474937439,-0.6394410133361816,0.16547691822052,0.0750999972224235
TAP_P00079,-57.30057981481031,-5.81804488424206,vegetated,0.7191653847694397,-0.6753438711166382,0.2160499989986419,0.1016499996185302
TAP_P00080,-57.04522763486059,-5.763672830050404,vegetated,0.8752504587173462,-0.7534764409065247,0.1617999970912933,0.0672499984502792
TAP_P00081,-56.02037039413084,-6.439041219183344,vegetated,0.621502697467804,-0.6028303503990173,0.2295249998569488,0.1205250024795532
TAP_P00083,-57.50388726659314,-5.012822756344107,vegetated,0.8090209364891052,-0.6847714185714722,0.163000002503395,0.0702999979257583
TAP_P00085,-57.44516794922212,-6.365250689369901,vegetated,0.684911847114563,-0.6093506217002869,0.1675000041723251,0.0859000012278556
TAP_P00086,-56.587021806393714,-7.320838358298023,vegetated,0.8301724791526794,-0.7268952131271362,0.1273666620254516,0.0549999997019767
TAP_P00087,-57.3805777155603,-5.998300345903147,vegetated,0.7992584705352783,-0.6960591077804565,0.1873999983072281,0.0764999985694885
TAP_P00088,-56.97626087071233,-5.847631336219652,vegetated,0.8530367016792297,-0.7488524913787842,0.16355000436306,0.0680499970912933
TAP_P00089,-56.86745570071068,-6.732284316189482,vegetated,0.5518871545791626,-0.4946509897708893,0.1509000062942505,0.0639000013470649
TAP_P00090,-56.46654892313804,-7.037706519942373,vegetated,0.8065467476844788,-0.6986225843429565,0.1523000001907348,0.068400003015995
TAP_P00091,-56.35978882470512,-6.667899498815093,vegetated,0.8350381255149841,-0.7310925722122192,0.1597499996423721,0.068850003182888
TAP_P00092,-57.26291680216643,-7.171734856321959,vegetated,0.8346169590950012,-0.740398645401001,0.1524000018835067,0.0654999986290931
TAP_P00093,-57.29669917128115,-6.082444489549997,vegetated,0.8419556617736816,-0.7304465770721436,0.1561000049114227,0.0636999979615211
TAP_P00094,-56.71716581517458,-5.939456504794271,vegetated,0.8270007967948914,-0.7180661559104919,0.1333000063896179,0.0557999983429908
TAP_P00097,-57.322973495809045,-7.146146307398921,vegetated,0.8357234597206116,-0.7377997636795044,0.1582999974489212,0.0669500008225441
TAP_P00098,-56.88297985320944,-6.708906610424839,vegetated,0.82147616147995,-0.7326642274856567,0.1877000033855438,0.0816999971866607
TAP_P00099,-57.44716374947208,-6.935339165839968,vegetated,0.8404439687728882,-0.7280361652374268,0.1616999953985214,0.064699999988079
TAP_P00100,-57.41645786609265,-6.93855428555957,vegetated,0.8447669148445129,-0.7303478121757507,0.1678999960422516,0.0694999992847442
TAP_P00103,-56.67490863473488,-7.098261338742496,vegetated,0.8046370148658752,-0.6771553158760071,0.1597999930381775,0.06700000166893
TAP_P00104,-56.66543003930335,-7.8066268597164195,vegetated,0.8486430048942566,-0.7194832563400269,0.1577000021934509,0.065650001168251
TAP_P00107,-56.30149300860246,-6.571641963460828,vegetated,0.8213069438934326,-0.7111780643463135,0.1282999962568283,0.0551499985158443
TAP_P00108,-56.87155104254418,-5.598677344548479,vegetated,0.8297405242919922,-0.7049897313117981,0.1507000029087066,0.0633499994874
TAP_P00109,-57.44930431174214,-4.824996637923996,vegetated,0.6181274652481079,-0.5618507862091064,0.164000004529953,0.0797000005841255
TAP_P00115,-56.907876307162645,-5.429273540185303,vegetated,0.850416898727417,-0.7492894530296326,0.1713999956846237,0.068850003182888
TAP_P00116,-56.38604987848651,-6.127925796354913,vegetated,0.7859482765197754,-0.6785229444503784,0.1505499929189682,0.0617000013589859
TAP_P00119,-57.15238485130718,-7.132568475204145,vegetated,0.8385093212127686,-0.7488343119621277,0.1525000035762787,0.0640000030398368
TAP_P00120,-56.17597507865458,-6.80031905218759,vegetated,0.8316482305526733,-0.7266911268234253,0.1360000073909759,0.0564999990165233
TAP_P00121,-56.85661725672815,-7.09870116123504,vegetated,0.8555209040641785,-0.7580893039703369,0.1559499949216842,0.0664499998092651
TAP_P00122,-57.54608025498639,-5.2138179678284216,vegetated,0.768278956413269,-0.693965494632721,0.1977999955415725,0.099600002169609
TAP_P00123,-57.14011853000768,-7.257372817512445,vegetated,0.869928777217865,-0.7425323724746704,0.1504999995231628,0.0630000010132789
TAP_P00124,-56.73772465882969,-7.069530164567295,vegetated,0.8244073987007141,-0.6950226426124573,0.165800005197525,0.0714000016450882
TAP_P00125,-57.00083853686498,-5.825455748639993,vegetated,0.8337650299072266,-0.7289031147956848,0.1544000059366226,0.0649999976158142
TAP_P00126,-56.55245848537496,-6.133343673675636,vegetated,0.6166266798973083,-0.591071367263794,0.1986500024795532,0.1021500006318092
TAP_P00127,-56.33392744340896,-7.307680726794734,vegetated,0.8632431030273438,-0.750633955001831,0.1426666676998138,0.0586999990046024
